ROWID	_NameID|INTEGER	_StaticName|TEXT	_IconImageIndex|INTEGER	_BuffIconImageIndex|INTEGER	_DeBuffIconImageIndex|INTEGER	_NeedJob|INTEGER	_NeedWeaponType1|INTEGER	_NeedWeaponType2|INTEGER	_MaxLevel|INTEGER	_SkillType|INTEGER	_DurationType|INTEGER	_TargetType|INTEGER	_Dissolvable|INTEGER	_Element|INTEGER	_EffectClass1|INTEGER	_EffectClass1ApplyType|INTEGER	_EffectClass2|INTEGER	_EffectClass2ApplyType|INTEGER	_EffectClass3|INTEGER	_EffectClass3ApplyType|INTEGER	_EffectClass4|INTEGER	_EffectClass4ApplyType|INTEGER	_EffectClass5|INTEGER	_EffectClass5ApplyType|INTEGER	_EffectAmassCount|INTEGER	_SkillDuplicate|INTEGER	_EffectDuplicate|INTEGER	_UsableChecker1|INTEGER	_UsableChecker2|INTEGER	_UsableChecker3|INTEGER	_UsableChecker4|INTEGER	_UsableChecker5|INTEGER	_Processor1|INTEGER	_Processor2|INTEGER	_Processor3|INTEGER	_Processor4|INTEGER	_Processor5|INTEGER	_Lock|BOOLEAN	_UnlockSkillBookItemID|INTEGER	_UnlockPrice|INTEGER	_DuplicatedSkillType|INTEGER	_BaseSkillID|INTEGER	_SkillTip|BOOLEAN	_EffectClass6|INTEGER	_EffectClass6ApplyType|INTEGER	_EffectClass7|INTEGER	_EffectClass7ApplyType|INTEGER	_Group|INTEGER	_GlobalCoolTimePvE|INTEGER	_GlobalCoolTimePvP|INTEGER	_GlobalSkillGroup|INTEGER	_IconPriority|INTEGER	_SkillGroup|INTEGER	_SPMaxLevel|INTEGER	_CustomID|INTEGER	_UseJob|TEXT	_LearnLv|INTEGER
2	1000002522	ImpactPunch	11	-1	-1	1	-1	-1	18	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
34	1000002522	ImpactPunch	11	-1	-1	1	-1	-1	18	0	2	1	0	-1	132	1	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
5	1000002525	RisingSlash	12	-1	-1	1	-1	-1	28	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	27	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
6	1000002526	ImpactWave	15	-1	-1	1	-1	-1	29	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	12	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
7	1000002527	CircleBreak	13	-1	-1	1	-1	-1	27	0	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	10	0	0	0	0	1	0	0	0	0	true	0	261	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
8	1000002528	SideKick	0	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1000002529	SoccerKick	1	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	45	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1000002530	ElbowDrop	3	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1000002531	Tumble	4	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1000002532	WakeupAttack	5	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1000002535	DropKick	2	-1	-1	1	-1	-1	1	1	0	1	0	-1	0	0	0	0	0	1	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	true	0	18	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1000002537	Relieve	24	-1	-1	1	-1	-1	3	0	0	0	0	-1	69	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	15	0	1	0	0	0	0	true	0	2610	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
18	1000002538	Dash	20	-1	-1	1	-1	-1	2	1	0	0	0	-1	75	0	14	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	13	0	0	true	0	0	0	0	0	0	0	0	0	0	1	0	0	0
20	1000002540	DashKick	23	-1	-1	1	-1	-1	16	1	0	1	0	-1	351	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	990	0	0	true	0	0	0	0	0	0	0	0	0	0	2	0	0	0
24	1000002544	AerialEvasion	7	-1	-1	1	-1	-1	1	1	0	0	0	-1	99	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	4050	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0
