ROWID	_TargetItemID|INTEGER	_LimitEquipValue|INTEGER
1	268475630	4
2	268475631	4
3	268475632	4
4	268475633	4
5	268475634	4
6	268475635	4
7	268475636	4
8	268475637	4
9	268475638	4
10	268475639	4
11	268475640	4
12	268475641	4
13	268475642	4
14	268475643	4
15	268475644	4
16	268475645	4
17	268475646	4
18	268475647	4
19	268475648	4
20	268475649	4
21	268475650	4
22	268475651	4
23	268475652	4
24	268475653	4
25	268475654	4
26	268475655	4
27	268475656	4
28	268475657	4
29	268475658	4
30	268475659	4
31	268475660	4
32	268475661	4
33	268475662	4
34	268475663	4
35	268475664	4
36	268475665	4
37	268475666	4
38	268475667	4
39	268475668	4
40	268475669	4
41	268475670	4
42	268475671	4
43	268475672	4
44	268475673	4
45	268475674	4
46	268475675	4
47	268475676	4
48	268475677	4
49	268475678	4
50	268475679	4
51	268475680	4
52	268475681	4
53	268475682	4
54	268475683	4
55	268475684	4
56	268475685	4
57	268475686	4
58	268475687	4
59	268475688	4
60	268475689	4
61	268475690	4
62	268475691	4
63	268475692	4
64	268475693	4
65	268475694	4
66	268475695	4
67	268475696	4
68	268475697	4
69	268475698	4
70	268475699	4
71	268475700	4
72	268475701	4
73	268475702	4
74	268475703	4
75	268475704	4
76	268475705	4
77	268475706	4
78	268475707	4
79	268475708	4
80	268475709	4
81	268475710	4
82	268475711	4
83	268475712	4
84	268475713	4
85	268475714	4
86	268475715	4
87	268475716	4
88	268475717	4
89	268475718	4
90	268475719	4
91	268475720	4
92	268475721	4
93	268475722	4
94	268475723	4
95	268475724	4
96	268475725	4
97	268475726	4
98	268475727	4
99	268475728	4
100	268475729	4
101	268475730	4
102	268475731	4
103	268475732	4
104	268475733	4
105	268475734	4
106	268475735	4
107	268475736	4
108	268475737	4
109	268475738	4
110	268475739	4
111	268475740	4
112	268475741	4
113	268475742	4
114	268475743	4
115	268475744	4
116	268475745	4
117	268475746	4
118	268475747	4
119	268475748	4
120	268475749	4
121	268475750	4
122	268475751	4
123	268475752	4
124	268475753	4
125	268475754	4
126	268475755	4
127	268475756	4
128	268475757	4
129	268475758	4
130	268475759	4
131	268475760	4
132	268475761	4
133	268475762	4
134	268475763	4
135	268475764	4
136	268475765	4
137	268475766	4
138	268475767	4
139	268475768	4
140	268475769	4
141	268475770	4
142	268475771	4
143	268475772	4
144	268475773	4
145	268475774	4
146	268475775	4
147	268475776	4
148	268475777	4
149	268475778	4
150	268475779	4
151	268475780	4
152	268475781	4
153	268475782	4
154	268475783	4
155	268475784	4
156	268475785	4
157	268475786	4
158	268475787	4
159	268475788	4
160	268475789	4
161	268475790	4
162	268475791	4
163	268475792	4
164	268475793	4
165	268475794	4
166	268475795	4
167	268475796	4
168	268475797	4
169	268475798	4
170	268475799	4
171	268475800	4
172	268475801	4
173	268475802	4
174	268475803	4
175	268475804	4
176	268475805	4
177	268475806	4
178	268475807	4
179	268475808	4
180	268475809	4
181	268475810	4
182	268475811	4
183	268475812	4
184	268475813	4
185	268475814	4
186	268476149	30
187	268476150	40
188	268476151	50
189	268476152	60
190	268476153	70
191	268476154	50
192	268476155	100
193	268476156	100
194	268476157	50
195	268476158	50
196	268475959	4
197	268475960	4
198	268475961	4
199	268475962	4
200	268475963	4
201	268475964	4
202	268475965	4
203	268475966	4
204	268475967	4
205	268475968	4
206	268475969	4
207	268475970	4
208	268475971	4
209	268475972	4
210	268475973	4
211	268475974	4
212	268475975	4
213	268475976	4
214	268475977	4
215	268475978	4
216	268475979	4
217	268475980	4
218	268475981	4
219	268475982	4
220	268475983	4
221	268475984	4
222	268475985	4
223	268475986	4
224	268475987	4
225	268475988	4
226	268475989	4
227	268475990	4
228	268475991	4
229	268475992	4
230	268475920	2
231	268475921	2
232	268475922	2
233	268475923	2
234	268475924	2
235	268475925	2
236	268475926	2
237	268475927	2
238	268475928	2
239	268475929	2
240	268475930	2
241	268475931	2
242	268475932	2
243	268475933	2
244	268475934	2
245	268475935	2
246	268475936	2
247	268475937	2
248	268475938	2
249	268475939	2
250	268475940	2
251	268475941	2
252	268475942	2
253	268475943	2
254	268475944	2
255	268475945	2
256	268475946	2
257	268475947	2
258	268475948	2
259	268475954	2
260	268475955	2
261	268475956	2
262	268475957	2
263	268475958	2
264	268475891	1
265	268475892	1
266	268475893	1
267	268475894	1
268	268475895	1
269	268475896	1
270	268475897	1
271	268475898	1
272	268475899	1
273	268475900	1
274	268475901	1
275	268475902	1
276	268475903	1
277	268475904	1
278	268475905	1
279	268475906	1
280	268475907	1
281	268475908	1
282	268475909	1
283	268475910	1
284	268475911	1
285	268475912	1
286	268475913	1
287	268475914	1
288	268475915	1
289	268475916	1
290	268475917	1
291	268475918	1
292	268475919	1
293	268475949	1
294	268475950	1
295	268475951	1
296	268475952	1
297	268475953	1
298	268476225	1
299	268476232	1
300	268476233	1
301	268476234	1
302	268476235	1
303	268476236	1
304	268476237	1
305	268476227	1
306	268476238	1
307	268476239	1
308	268476240	1
309	268476241	1
310	268476242	1
311	268476226	1
312	268476243	1
313	268476244	1
314	268476245	1
315	268476246	1
316	268476247	1
317	268476251	2
318	268476228	2
319	268476229	2
320	268476230	2
321	268476231	2
322	268476434	4
323	268476435	4
324	268476436	4
325	268476437	4
326	268476438	4
