ROWID	_NeedJob|INTEGER	_IconIndex|INTEGER	_ConditionType1|INTEGER	_ConditionType2|INTEGER	_ConditionType3|INTEGER	_ConditionType4|INTEGER	_ConditionType5|INTEGER	_ConditionFactor1|TEXT	_ConditionFactor2|TEXT	_ConditionFactor3|TEXT	_ConditionFactor4|TEXT	_ConditionFactor5|TEXT	_BubbleType1|INTEGER	_BubbleType2|INTEGER	_BubbleType3|INTEGER	_BubbleType4|INTEGER	_BubbleType5|INTEGER	_BubbleFactor1|TEXT	_BubbleFactor2|TEXT	_BubbleFactor3|TEXT	_BubbleFactor4|TEXT	_BubbleFactor5|TEXT	_ContentsID|TEXT
1	0	81	5	6	0	0	0	3221	3217				1	0	0	0	0	100;90000					
2	0	0	1	3	0	0	0	3302	100;3				2	0	0	0	0	100;3					
3	0	0	5	4	0	0	0	3301	100				3	0	0	0	0	100;90000					
4	0	81	5	2	0	0	0	3301	3021				1	0	0	0	0	100;90000					
555	0	81	5	6	0	0	0	3301	3304				1	0	0	0	0	100;90000					
556	0	81	5	6	0	0	0	3221	3221				1	1	0	0	0	100;90000	100;90000				
557	0	81	5	6	0	0	0	3304	3221				1	1	0	0	0	100;90000	100;90000				
558	0	81	5	13	0	0	0	3307	3219				1	0	0	0	0	100;90000					
6	0	81	5	7	0	0	0	3301	3220				1	0	0	0	0	100;90000					
82	0	81	1	0	0	0	0	3221					1	0	0	0	0	100;90000					
83	0	0	5	13	0	0	0	3307	3218				1	0	0	0	0	100;90000					
74	0	81	19	16	0	0	0	3221;0	100				2	0	0	0	0	100;1					
75	0	81	19	16	0	0	0	3609;0	100				2	0	0	0	0	100;1					
76	0	0	5	22	0	0	0	3221	100				7	0	0	0	0	Stand;Skill_StandOfFaith_GuardStance_PVP					
77	0	0	5	22	0	0	0	3304	100				7	0	0	0	0	Stand;Skill_StandOfFaith_EX_GuardStance_PVP					
78	0	0	5	22	0	0	0	3609	100				7	0	0	0	0	Stand;Skill_Awake_StandOfFaith_EX_GuardStance_PVP					
600	0	81	1	0	0	0	0	3609					1	0	0	0	0	100;90000					
601	0	81	5	6	0	0	0	3609	3609				1	1	1	1	0	100;90000	100;90000	100;90000	100;90000		
602	0	0	1	3	0	0	0	3610	100;3				2	0	0	0	0	100;3					
603	0	81	1	0	0	0	0	3227					1	1	1	1	1	100;90000	100;90000	100;90000	100;90000	100;90000	
604	0	81	1	0	0	0	0	3227					1	1	1	1	1	100;90000	100;90000	100;90000	100;90000	100;90000	
606	0	0	1	3	0	0	0	3613	100;3				2	0	0	0	0	100;3					
607	0	81	1	0	0	0	0	3601					2	0	0	0	0	100;1					
608	0	81	1	0	0	0	0	3226					2	0	0	0	0	100;2					
610	0	100000000	5	13	11	0	0	3357	3002	1			1	0	0	0	0	243;2000					
611	0	100000000	1	3	0	0	0	3360	243;1				2	0	0	0	0	243;1					
612	0	100000000	5	4	0	0	0	3357	243				0	0	0	0	0						
615	0	100000000	5	13	11	0	0	3359	3223	1			1	0	0	0	0	370;2000					
616	0	100000000	1	3	0	0	0	3363	370;1				2	0	0	0	0	370;1					
617	0	100000000	5	4	0	0	0	3359	370				0	0	0	0	0						
613	0	100000000	13	19	11	0	0	3222;3202;3203;3353	3663;0	0.20			1	5	0	0	0	368;15000	368;1;3665;1				
614	0	100000000	13	19	11	0	0	3222;3202;3203;3353	3663;0	0.20			1	5	0	0	0	369;15000	369;1;3670;1				
609	0	100000000	5	13	0	0	0	3654	3651;3652;3668;3669				5	0	0	0	0	368;0;3671;0					
620	0	0	5	1	11	0	0	3754	3758	1			1	0	0	0	0	244;15000					
621	0	0	1	3	0	0	0	3763	244;1				2	0	0	0	0	244;1					
622	0	0	5	4	0	0	0	3754	244				3	0	0	0	0	244;3764					
7	0	100	5	9	0	0	0	78018	78018				1	0	0	0	0	150;30000					
8	0	100	1	3	0	0	0	78018	150;3				2	0	0	0	0	150;3					
